City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Bethel,US,77.68,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
11,Ca Mau,VN,87.31,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
19,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
27,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
33,Atuona,PF,77.43,few clouds,-9.8,-139.0333,Villa Enata
35,Kadi,IN,82.26,overcast clouds,23.3,72.3333,Meena Engineering
39,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
45,Bengkulu,ID,84.45,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,San Policarpo,PH,85.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
52,Hit,IQ,85.95,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
53,Dhidhdhoo,MV,81.52,overcast clouds,6.8833,73.1,Dhidhoo beach
55,Salinopolis,BR,78.4,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
58,Venice,US,80.98,overcast clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
60,Xinglongshan,CN,78.55,broken clouds,43.9561,125.4661,Fashion Hotel
61,Hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Butaritari,KI,82.22,broken clouds,3.0707,172.7902,Isles Sunset Lodge
70,Fairhope,US,82.67,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
77,Russell,US,75.96,clear sky,32.3502,-85.1999,Macs
80,Tulungagung,ID,79.83,overcast clouds,-8.0657,111.9025,Lojikka Hotel
81,Arlit,NE,88.59,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
86,Laurel,US,85.68,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
89,Sibolga,ID,86.36,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
91,Kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
95,Coahuayana,MX,80.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
96,Riyadh,SA,86.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
98,Bonthe,SL,76.3,light rain,7.5264,-12.505,Bonthe Holiday Village
99,Sawakin,SD,89.22,clear sky,19.1059,37.3321,فندق الدويم
101,Tura,IN,82.51,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
107,Storm Lake,US,80.29,clear sky,42.6411,-95.2097,King's Pointe Resort
110,Springdale,US,87.71,clear sky,36.1867,-94.1288,Springdale Inn
113,Hasaki,JP,90.0,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
114,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Hotel Marilu
117,Curup,ID,80.8,broken clouds,-3.4667,102.5333,Ayi The Costel
118,Gushikawa,JP,89.19,few clouds,26.3544,127.8686,Kirari Guest House
119,Davila,PH,87.78,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
124,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
128,Sabang,ID,81.84,light rain,5.8933,95.3214,Hotel Citra
138,Lewistown,US,80.01,clear sky,40.5992,-77.5714,Quality Inn & Suites
141,Orbetello,IT,77.0,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
144,Matara,LK,80.13,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
149,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
152,Eydhafushi,MV,82.17,overcast clouds,5.1033,73.0708,Soneva Fushi
153,Carutapera,BR,75.34,broken clouds,-1.195,-46.02,Lidera
154,Duluth,US,78.28,haze,46.7833,-92.1066,South Pier Inn
156,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
164,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
165,Noumea,NC,75.99,heavy intensity rain,-22.2763,166.4572,Hôtel Le Lagon
166,Goderich,CA,77.32,few clouds,43.7501,-81.7165,Harmony Inn
169,Yairipok,IN,78.66,light rain,24.6667,94.0667,Ningthounai
171,Rincon,US,84.16,thunderstorm,32.296,-81.2354,Days Inn Rincon
172,Grafton,US,79.83,clear sky,42.207,-71.6856,The Grafton Inn
184,Abu Kamal,SY,81.7,clear sky,34.4506,40.9171,البوكمال
185,Dzilam Gonzalez,MX,79.75,scattered clouds,21.2833,-88.9333,posadas
190,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
193,Loa Janan,ID,78.71,overcast clouds,-0.583,117.095,Kost bu jono
194,Rabupura,IN,86.54,overcast clouds,28.25,77.6,Agrasen Dharamshala
195,Jinchang,CN,82.9,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
198,Dicabisagan,PH,89.02,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
200,Acarau,BR,78.91,scattered clouds,-2.8856,-40.12,castelo pizzaria
202,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
206,Bend,US,79.88,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
207,Isangel,VU,78.57,light rain,-19.55,169.2667,Tanna Lodge
208,Redmond,US,76.21,clear sky,47.674,-122.1215,Seattle Marriott Redmond
211,Marawi,PH,79.36,scattered clouds,7.9986,124.2928,Derogongan Residence
214,Ahuimanu,US,85.71,few clouds,21.4447,-157.8378,Paradise Bay Resort
219,Katsuura,JP,82.87,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
220,Tual,ID,78.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
224,Talnakh,RU,76.21,few clouds,69.4865,88.3972,Talnakh Hotel
225,General Bravo,MX,84.67,clear sky,25.8,-99.1667,Hotel Don Joaquin
228,Buraydah,SA,84.65,broken clouds,26.326,43.975,Mövenpick Qassim
229,Nhulunbuy,AU,79.41,clear sky,-12.2333,136.7667,East Arnhem Real Estate
230,Kutum,SD,78.46,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
237,Magadan,RU,79.54,broken clouds,59.5667,150.8,Magadan hotel
241,Manadhoo,MV,81.82,overcast clouds,5.7667,73.3833,Bon Abri maldives
247,Buchanan,LR,75.54,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
251,Abdanan,IR,79.5,clear sky,32.9926,47.4198,خدمات موبایل میرزایی
254,Shingu,JP,82.78,broken clouds,33.7333,135.9833,Shingu UI Hotel
255,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
258,Kawalu,ID,75.56,overcast clouds,-7.3817,108.2082,West Jontor
260,Zhanaozen,KZ,77.2,clear sky,43.3,52.8,K.korabay 28A
269,Hobyo,SO,75.06,few clouds,5.3505,48.5268,Iftin hotel hobyo
272,Mandan,US,82.81,clear sky,46.8267,-100.8896,Twin City Estates
273,Cusuna,HN,76.24,overcast clouds,15.85,-85.2333,San Francisco de la paz
279,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
280,Cabo San Lucas,MX,88.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
286,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
291,Sungaipenuh,ID,77.99,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
294,Kushima,JP,86.9,broken clouds,31.4583,131.2333,Hanaoka
296,Priargunsk,RU,80.46,light rain,50.3691,119.1012,24 Chasa
298,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
299,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
306,Sitangkai,PH,83.57,overcast clouds,4.6628,119.3928,Ama House
307,Kavieng,PG,84.43,few clouds,-2.5744,150.7967,Nusa Island Retreat
311,Balkanabat,TM,79.29,clear sky,39.5108,54.3671,Nebitchi Hotel
314,Umm Lajj,SA,85.21,few clouds,25.0213,37.2685,Moon light Furnished Units
318,Hamilton,US,80.22,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
321,Faanui,PF,78.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
322,Jiwani,PK,81.99,overcast clouds,25.05,61.7417,Hamza hotel jiwani
324,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
328,Andros Town,BS,84.16,clear sky,24.7,-77.7667,Hanks place
335,Saint Anthony,US,84.09,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
338,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
339,Tabuk,PH,87.3,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
341,Ormara,PK,82.67,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
346,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
349,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
350,Beidao,CN,81.45,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
354,Novo Aripuana,BR,75.15,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
356,Tarakan,ID,87.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
360,Mayo,US,86.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
361,Manado,ID,84.97,thunderstorm,1.487,124.8455,Aryaduta Hotel
363,Wiarton,CA,76.39,few clouds,44.7407,-81.1332,Waterview On The Bay
364,Dapitan,PH,84.7,overcast clouds,8.6464,123.4208,Bajamunde Farms Pension
365,Darnah,LY,76.23,clear sky,32.767,22.6367,فندق الفردوس
366,Kainantu,PG,76.19,few clouds,-6.2887,145.8655,Sylvester buku
