City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Hobart,-42.8794,147.3294,58.26,70,100,3.0,overcast clouds,AU,2022-07-23 02:35:32
1,Mataura,-46.1927,168.8643,45.48,65,4,2.84,clear sky,NZ,2022-07-23 02:40:21
2,Tasiilaq,65.6145,-37.6368,35.76,80,44,7.45,scattered clouds,GL,2022-07-23 02:35:46
3,Kula,38.5473,28.6498,61.32,50,0,4.94,clear sky,TR,2022-07-23 02:40:22
4,Avera,33.194,-82.5271,80.65,67,99,5.57,overcast clouds,US,2022-07-23 02:40:22
5,Bethel,41.3712,-73.414,77.68,90,0,0.0,clear sky,US,2022-07-23 02:35:30
6,Bluff,-46.6,168.3333,45.81,69,2,3.2,clear sky,NZ,2022-07-23 02:40:23
7,Saint-Philippe,-21.3585,55.7679,64.22,84,42,14.52,light rain,RE,2022-07-23 02:40:23
8,Dikson,73.5069,80.5464,51.66,80,94,12.86,overcast clouds,RU,2022-07-23 02:40:24
9,Ushuaia,-54.8,-68.3,35.26,87,75,25.32,broken clouds,AR,2022-07-23 02:40:24
10,Barrow,71.2906,-156.7887,39.22,87,100,11.5,mist,US,2022-07-23 02:40:25
11,Ca Mau,9.1769,105.15,87.31,66,74,1.21,broken clouds,VN,2022-07-23 02:38:26
12,Mount Hagen,-5.8581,144.2274,72.36,56,20,4.61,haze,PG,2022-07-23 02:40:25
13,Provideniya,64.3833,-173.3,50.52,65,97,5.06,overcast clouds,RU,2022-07-23 02:40:26
14,Calama,-22.4667,-68.9333,48.69,21,82,10.36,broken clouds,CL,2022-07-23 02:40:26
15,Jamestown,42.097,-79.2353,72.72,77,0,9.22,clear sky,US,2022-07-23 02:40:08
16,Ostrovnoy,68.0531,39.5131,51.94,87,98,18.03,overcast clouds,RU,2022-07-23 02:40:27
17,Imbituba,-28.24,-48.6703,69.85,99,92,2.82,overcast clouds,BR,2022-07-23 02:40:27
18,Caravelas,-17.7125,-39.2481,69.49,84,2,4.43,clear sky,BR,2022-07-23 02:40:27
19,Teahupoo,-17.8333,-149.2667,75.16,78,34,11.65,scattered clouds,PF,2022-07-23 02:40:28
20,Troitsko-Pechorsk,62.7084,56.1964,51.8,70,95,4.09,overcast clouds,RU,2022-07-23 02:40:28
21,Malakal,9.5334,31.6605,74.44,84,100,4.29,overcast clouds,SS,2022-07-23 02:40:29
22,Khatanga,71.9667,102.5,41.34,89,100,12.26,light rain,RU,2022-07-23 02:40:29
23,Isetskoye,56.4858,65.3226,63.63,80,28,7.2,scattered clouds,RU,2022-07-23 02:40:29
24,Mokhsogollokh,61.4681,128.9203,70.97,77,99,4.21,overcast clouds,RU,2022-07-23 02:40:30
25,Pisco,-13.7,-76.2167,60.85,82,40,2.3,scattered clouds,PE,2022-07-23 02:40:30
26,Rikitea,-23.1203,-134.9692,72.88,73,16,9.69,few clouds,PF,2022-07-23 02:40:31
27,Avarua,-21.2078,-159.775,78.85,78,40,16.11,scattered clouds,CK,2022-07-23 02:40:31
28,Kaitangata,-46.2817,169.8464,45.46,73,3,2.84,clear sky,NZ,2022-07-23 02:40:32
